"","lon","lat","species"
"122",-116.58424,34.3161399991211,"Ephedra nevadensis"
"123",-115.82922,35.943,"Ephedra funerea"
"124",-114.704444,32.748889,"Ephedra trifurca"
"125",-115.12,34.516667,"Ephedra aspera"
"126",-115.293889,34.3675,"Ephedra californica"
"127",-115.12005,34.51682,"Ephedra aspera"
"129",-115.191667,33.414722,"Ephedra californica"
"132",-114.948611,33.130278,"Ephedra nevadensis"
"133",-115.831944,33.737056,"Ephedra aspera"
"134",-114.863056,34.053056,"Ephedra trifurca"
"135",-116.74503,34.27462,"Ephedra viridis"
"136",-115.809167,33.736944,"Ephedra aspera"
"138",-115.12,34.516667,"Ephedra californica"
"140",-114.70467,32.7491,"Ephedra trifurca"
"142",-115.19167,33.41472,"Ephedra californica"
"143",-115.564444,34.920556,"Ephedra nevadensis"
"144",-118.99905,35.60745,"Ephedra nevadensis"
"146",-116.53176,34.2789299991215,"Ephedra viridis"
"148",-117.5625,34.47111,"Ephedra nevadensis"
"149",-115.5645,34.92073,"Ephedra nevadensis"
"150",-115.628333,34.808611,"Ephedra nevadensis"
"151",-116.53105,34.2768599991215,"Ephedra californica"
"154",-115.154083,34.632667,"Ephedra aspera"
"155",-115.553333,35.282222,"Ephedra nevadensis"
"156",-115.739444,35.215,"Ephedra nevadensis"
"158",-115.73965,35.21513,"Ephedra nevadensis"
"160",-115.164983,33.414767,"Ephedra californica"
"161",-114.861389,34.0574999991242,"Ephedra trifurca"
"162",-116.67817,34.2702199991216,"Ephedra nevadensis"
"164",-115.16498,33.41477,"Ephedra californica"
"165",-119.0501,37.9462,"Ephedra viridis"
"167",-116.7763,33.6816,"Ephedra aspera"
"168",-106.894967,34.136156,"Ephedra antisyphilitica"
"170",-111.476555,33.455505,"Ephedra fasciculata"
"174",-116.6069,34.29254,"Ephedra nevadensis"
"175",-118.583056,37.371111,"Ephedra viridis"
"178",-116.4845,32.70119,"Ephedra californica"
"180",-116.451011,32.785224,"Ephedra californica"
"181",-116.4172,33.6358,"Ephedra aspera"
"191",-116.56263,34.2816599991215,"Ephedra nevadensis"
"193",-115.127778,32.9263889991387,"Ephedra trifurca"
"194",-99.670711,34.091562,"Ephedra antisyphilitica"
"202",-119.691472,35.212528,"Ephedra californica"
"249",-115.288611,32.923333,"Ephedra trifurca"
"250",-106.6984,32.2978199991474,"Ephedra trifurca"
"251",-105.6353,31.8078899991544,"Ephedra trifurca"
"252",-104.2811,30.4160299991757,"Ephedra trifurca"
"254",-116.50794,34.13416,"Ephedra californica"
"255",-104.7575,30.7259699991708,"Ephedra trifurca"
"256",-103.6498,30.3691599991765,"Ephedra trifurca"
"257",-116.219543,32.8638,"Ephedra nevadensis"
"259",-114.9374,34.01678,"Ephedra nevadensis"
"260",-115.44255,33.68473,"Ephedra aspera"
"261",-115.4425,33.684722,"Ephedra nevadensis"
"262",-103.6472,30.3687199991765,"Ephedra antisyphilitica"
"265",-117.022778,35.0288889991128,"Ephedra trifurca"
"266",-104.8541,31.5833099991577,"Ephedra torreyana"
"267",-104.7874,30.8328099991691,"Ephedra trifurca"
"269",-105.4961,31.7835599991548,"Ephedra trifurca"
"272",-115.852478,33.7563829991279,"Ephedra nevadensis"
"273",-115.901667,35.639444,"Ephedra californica"
"274",-115.90167,35.63944,"Ephedra californica"
"275",-115.67278,35.75083,"Ephedra funerea"
"276",-115.6575,34.786667,"Ephedra nevadensis"
"277",-115.47797,35.0748,"Ephedra viridis"
"278",-115.453611,34.1044439991236,"Ephedra trifurca"
"279",-115.84472,35.66278,"Ephedra californica"
"281",-116.050172,33.9605669991254,"Ephedra californica"
"284",-116.44189,32.66719,"Ephedra californica"
"286",-115.45177,34.11923,"Ephedra nevadensis"
"287",-116.4419,32.66724,"Ephedra californica"
"288",-115.84472,35.66278,"Ephedra funerea"
"289",-117.42614,35.86412,"Ephedra nevadensis"
"290",-115.668056,34.781389,"Ephedra californica"
"291",-116.4804,34.22741,"Ephedra nevadensis"
"292",-115.844722,35.662778,"Ephedra californica"
"293",-115.86528,35.63806,"Ephedra californica"
"294",-115.844722,35.662778,"Ephedra funerea"
"296",-115.914583,35.974306,"Ephedra torreyana"
"297",-115.91694,35.97556,"Ephedra torreyana"
"300",-115.90194,35.97972,"Ephedra torreyana"
"304",-115.91278,35.97889,"Ephedra torreyana"
"305",-115.90556,35.98,"Ephedra torreyana"
"307",-115.925972,35.980806,"Ephedra torreyana"
"309",-115.92142,35.98961,"Ephedra torreyana"
"310",-115.91067,35.99,"Ephedra torreyana"
"311",-115.912778,35.978889,"Ephedra torreyana"
"312",-116.73901,34.2734599991216,"Ephedra viridis"
"316",-116.19944,35.84139,"Ephedra californica"
"317",-115.91333,35.975,"Ephedra torreyana"
"319",-116.199444,35.841389,"Ephedra californica"
"320",-116.805,34.8375,"Ephedra californica"
"322",-115.92153,35.96811,"Ephedra torreyana"
"323",-115.88611,35.99472,"Ephedra torreyana"
"324",-115.921417,35.989611,"Ephedra torreyana"
"325",-115.921944,35.986389,"Ephedra torreyana"
"327",-116.203083,33.990041999125,"Ephedra nevadensis"
"328",-115.905556,35.98,"Ephedra torreyana"
"329",-116.6783,33.8817,"Ephedra californica"
"330",-115.92597,35.98081,"Ephedra torreyana"
"334",-115.91458,35.97431,"Ephedra torreyana"
"335",-115.92194,35.98639,"Ephedra torreyana"
"337",-115.92603,35.97539,"Ephedra torreyana"
"338",-115.901944,35.979722,"Ephedra torreyana"
"339",-118.50667,37.83944,"Ephedra nevadensis"
"340",-118.31278,37.22167,"Ephedra nevadensis"
"343",-117.824,34.412,"Ephedra viridis"
"346",-118.506667,37.839444,"Ephedra nevadensis"
"360",-116.794,33.8962,"Ephedra californica"
"362",-115.21733,33.40458,"Ephedra aspera"
"366",-116.5377,33.7643,"Ephedra californica"
"376",-111.795024,34.876016,"Ephedra aspera"
"380",-116.18184,32.84027,"Ephedra californica"
"381",-116.546389,33.895833,"Ephedra californica"
"382",-116.54642,33.89608,"Ephedra californica"
"383",-116.12681,32.65189,"Ephedra aspera"
"385",-116.64608,33.96155,"Ephedra californica"
"386",-114.58139,34.545,"Ephedra aspera"
"387",-115.5388,34.68663,"Ephedra californica"
"388",-115.696667,34.661667,"Ephedra californica"
"389",-115.40723,34.70822,"Ephedra nevadensis"
"390",-114.581361,34.609083,"Ephedra aspera"
"392",-115.6967,34.6619,"Ephedra californica"
"393",-116.02752,33.9573049991254,"Ephedra californica"
"399",-114.581389,34.609167,"Ephedra aspera"
"405",-115.688056,34.756667,"Ephedra nevadensis"
"406",-115.68822,34.75678,"Ephedra californica"
"408",-116.45065,32.77418,"Ephedra californica"
"409",-115.843,35.989083,"Ephedra torreyana"
"413",-116.596,34.67103,"Ephedra nevadensis"
"414",-115.227056,34.0335449991245,"Ephedra californica"
"416",-116.04164,34.1268999991234,"Ephedra californica"
"417",-115.82806,35.9325,"Ephedra funerea"
"419",-116.30914,33.04962,"Ephedra aspera"
"421",-115.278056,35.2975,"Ephedra viridis"
"422",-116.209552,35.2425609991105,"Ephedra viridis"
"423",-115.21717,34.0673399991241,"Ephedra trifurca"
"424",-116.59039,33.14,"Ephedra californica"
"425",-115.27815,35.2975,"Ephedra viridis"
"426",-118.095424,35.2134869991108,"Ephedra nevadensis"
"427",-116.39139,34.135,"Ephedra californica"
"428",-116.27645,34.76067,"Ephedra californica"
"429",-116.50302,34.14308,"Ephedra nevadensis"
"431",-116.009444,36.078889,"Ephedra torreyana"
"432",-115.686806,34.237167,"Ephedra nevadensis"
"433",-115.93675,35.99323,"Ephedra torreyana"
"434",-116.002222,36.07,"Ephedra torreyana"
"435",-116.18768,35.85192,"Ephedra funerea"
"436",-116.00228,36.07025,"Ephedra torreyana"
"437",-115.94635,35.997133,"Ephedra torreyana"
"438",-115.945967,35.851017,"Ephedra funerea"
"442",-118,34.596717,"Ephedra nevadensis"
"443",-115.93675,35.993233,"Ephedra torreyana"
"445",-115.94635,35.99713,"Ephedra torreyana"
"450",-115.68667,34.23722,"Ephedra nevadensis"
"453",-115.937117,35.997833,"Ephedra torreyana"
"456",-115.686944,34.237222,"Ephedra nevadensis"
"457",-116.00948,36.07903,"Ephedra torreyana"
"460",-115.705,34.245278,"Ephedra californica"
"461",-116.002283,36.07025,"Ephedra torreyana"
"466",-115.995211,36.053054,"Ephedra funerea"
"467",-115.705,34.24528,"Ephedra californica"
"470",-115.93712,35.99783,"Ephedra torreyana"
"476",-115.94597,35.85102,"Ephedra funerea"
