"","lon","lat","species"
"1",-116.729378,34.632295,"Larrea tridentata"
"2",-116.405814,33.669647,"Larrea tridentata"
"3",-112.80379,31.951753,"Larrea tridentata"
"4",-116.308511,33.773618,"Larrea tridentata"
"5",-110.686662,32.222137,"Larrea tridentata"
"6",-116.623095,34.642656,"Larrea tridentata"
"7",-106.545192,31.831785,"Larrea tridentata"
"8",-111.872966,33.389357,"Larrea tridentata"
"9",-110.710348,32.205099,"Larrea tridentata"
"10",-116.254342,33.509422,"Larrea tridentata"
"11",-103.177952,31.067921,"Larrea tridentata"
"13",-115.918389,33.677319,"Larrea tridentata"
"14",-106.91127,33.794772,"Larrea tridentata"
"15",-111.156138,32.258004,"Larrea tridentata"
"16",-111.971573,33.823699,"Larrea tridentata"
"17",-116.1168,33.068153,"Larrea tridentata"
"18",-115.799904,33.681616,"Larrea tridentata"
"19",-117.113008,36.607518,"Larrea tridentata"
"20",-115.7939,33.860733,"Larrea tridentata"
"21",-116.939936,36.600407,"Larrea tridentata"
"22",-116.826382,34.786175,"Larrea tridentata"
"23",-116.766452,36.134612,"Larrea tridentata"
"24",-116.803443,35.958046,"Larrea tridentata"
"25",-116.932541,36.532265,"Larrea tridentata"
"26",-115.777525,33.846254,"Larrea tridentata"
"28",-116.317087,33.503036,"Larrea tridentata"
"29",-111.736305,33.361569,"Larrea tridentata"
"30",-116.939865,36.748287,"Larrea tridentata"
"31",-116.135579,35.396369,"Larrea tridentata"
"32",-115.3091,33.83005,"Larrea tridentata"
"33",-115.840628,33.648292,"Larrea tridentata"
"36",-116.879489,36.832712,"Larrea tridentata"
"37",-116.786487,36.450146,"Larrea tridentata"
"38",-116.413203,33.24653,"Larrea tridentata"
"39",-114.845939,35.981652,"Larrea tridentata"
"40",-115.806517,33.734955,"Larrea tridentata"
"41",-114.803542,36.038749,"Larrea tridentata"
"42",-116.405123,33.669711,"Larrea tridentata"
"43",-117.619485,35.365957,"Larrea tridentata"
"44",-115.978781,33.947727,"Larrea tridentata"
"45",-114.805866,36.037963,"Larrea tridentata"
"46",-114.573567,35.194458,"Larrea tridentata"
"47",-116.103216,34.110952,"Larrea tridentata"
"48",-114.796842,36.008685,"Larrea tridentata"
"49",-117.281665,36.033175,"Larrea tridentata"
"50",-117.241259,36.452744,"Larrea tridentata"
"51",-117.066708,36.664563,"Larrea tridentata"
"52",-116.799238,34.915492,"Larrea tridentata"
"53",-114.802129,36.039868,"Larrea tridentata"
"54",-115.828857,33.76545,"Larrea tridentata"
"55",-115.904045,33.925415,"Larrea tridentata"
